"state_name","year","quarter","total_registered_users","total_app_opens"
"chhattisgarh",2019,3,"7305174","139087023"
"kerala",2020,2,"14186532","137498859"
"sikkim",2024,2,"913950","135857985"
"jammu-&-kashmir",2021,3,"4079580","135075591"
"meghalaya",2023,1,"924972","134060757"
"meghalaya",2024,4,"1713816","133223301"
"mizoram",2024,2,"514620","132513138"
"delhi",2019,2,"18496344","131194710"
"tripura",2023,4,"2419032","130775886"
"himachal-pradesh",2021,2,"5229453","129809931"
"goa",2022,4,"2565606","129015636"
"ladakh",2023,3,"361305","127908090"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,4,"1933650","125843142"
"assam",2020,3,"8490033","125625834"
"arunachal-pradesh",2022,1,"1006017","124255677"
"ladakh",2024,2,"404106","124066920"
"punjab",2019,3,"8888139","122582658"
"uttarakhand",2020,3,"7096314","121132044"
"kerala",2019,4,"10511814","120138099"
"bihar",2019,2,"19769277","118821066"
"assam",2020,2,"7652649","117914772"
"arunachal-pradesh",2023,4,"1386264","116620638"
"chandigarh",2024,4,"2163648","111795051"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,4,"1772280","109738134"
"jammu-&-kashmir",2021,4,"4370430","108036444"
"chandigarh",2023,4,"2182782","107159973"
"nagaland",2023,1,"1007808","105681462"
"sikkim",2023,3,"818487","104718918"
"gujarat",2019,2,"22723935","104670903"
"jammu-&-kashmir",2021,2,"3783801","102823677"
"odisha",2019,2,"14536077","101866635"
"tamil-nadu",2019,2,"22288827","100976883"
"nagaland",2023,2,"1053072","100836240"
"assam",2020,1,"6557814","99293676"
"uttarakhand",2020,1,"5830818","97893795"
"meghalaya",2022,3,"850461","97788405"
"puducherry",2023,4,"1823514","96548031"
"manipur",2024,4,"1850985","96438384"
"haryana",2019,2,"15534090","95787585"
"kerala",2019,3,"8972889","94415082"
"nagaland",2022,3,"922158","93688098"
"goa",2024,1,"3105150","93504948"
"uttarakhand",2020,2,"6445701","93224379"
"tripura",2023,2,"2229072","92457621"
"puducherry",2024,4,"1938474","92174733"
"meghalaya",2023,4,"1047990","91072878"
"tripura",2023,1,"2132652","89209923"
"manipur",2023,1,"1495011","88257222"
"mizoram",2023,3,"454134","87058329"
"uttarakhand",2019,4,"5258031","86561601"
"nagaland",2022,2,"876312","85957293"
"andaman-&-nicobar-islands",2024,1,"325233","85616253"
"sikkim",2023,2,"788184","85412625"
"goa",2021,4,"2091534","84864762"
"meghalaya",2022,2,"809829","82376976"
"assam",2019,4,"5823660","79798347"
"ladakh",2023,2,"347208","78856560"
"manipur",2022,2,"1303689","78710700"
"manipur",2022,3,"1371189","78034029"
"manipur",2023,4,"1692390","76654635"
"assam",2019,3,"5194569","76181019"
"nagaland",2024,4,"1390569","76167045"
"uttarakhand",2019,3,"4757577","73982964"
"mizoram",2023,1,"416253","73211082"
"himachal-pradesh",2021,1,"4868853","72684282"
"nagaland",2022,1,"829449","72618159"
"puducherry",2022,4,"1561947","72432552"
"tripura",2022,3,"1947429","72370707"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,4,"1500375","72200310"
"goa",2023,3,"2885493","72053142"
"meghalaya",2022,1,"767517","70902318"
"goa",2023,1,"2676555","68489793"
"manipur",2022,1,"1235700","67913241"
"himachal-pradesh",2020,4,"4526298","66003444"
"mizoram",2023,2,"435183","65605941"
"arunachal-pradesh",2022,4,"1170921","65325114"
"goa",2024,2,"3220548","64079829"
"tripura",2022,2,"1847346","64029333"
"manipur",2023,3,"1624716","62082885"
"andaman-&-nicobar-islands",2023,3,"300765","61635237"
"goa",2023,2,"2778060","60658932"
"nagaland",2023,4,"1143486","60507006"
"ladakh",2022,3,"306897","59204343"
"goa",2022,3,"2453490","59138292"
"sikkim",2024,1,"881463","58753080"
"andaman-&-nicobar-islands",2024,3,"517419","58664538"
"tripura",2022,1,"1746372","57968889"
"goa",2022,2,"2333337","57186471"
"sikkim",2023,1,"757320","56781681"
"jammu-&-kashmir",2021,1,"3524454","56502027"
"sikkim",2022,3,"696075","56245608"
"andaman-&-nicobar-islands",2024,4,"536364","56075049"
"goa",2022,1,"2215884","56036394"
"sikkim",2024,4,"962244","55472520"
"himachal-pradesh",2020,3,"4135902","55235250"
"sikkim",2024,3,"936933","54738630"
"arunachal-pradesh",2021,3,"879219","51628962"
"sikkim",2022,2,"662982","50981811"
"andaman-&-nicobar-islands",2024,2,"338061","50630649"
"mizoram",2022,2,"364605","49939650"
"goa",2021,3,"1960374","49725333"
"ladakh",2024,1,"390210","49509225"
"himachal-pradesh",2020,2,"3749601","48376740"
"tripura",2022,4,"2036223","48322830"
"jammu-&-kashmir",2020,4,"3237066","48056253"
"sikkim",2023,4,"847725","47514594"
"mizoram",2022,3,"383205","46671489"
"goa",2021,1,"1710105","46403016"
"chandigarh",2022,4,"1882689","45926586"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,4,"1196889","45028365"
"jharkhand",2019,2,"7814562","44787198"
"mizoram",2022,1,"345885","44659971"
"ladakh",2022,2,"292551","44304387"
"andaman-&-nicobar-islands",2023,2,"288987","44216028"
"himachal-pradesh",2020,1,"3318075","43920312"
"ladakh",2023,1,"332973","43567485"
"puducherry",2021,4,"1269501","42772704"
"manipur",2023,2,"1559397","42228111"
"chhattisgarh",2019,2,"6573198","39619119"
"arunachal-pradesh",2021,2,"811716","39077547"
"goa",2021,2,"1827318","38131083"
"himachal-pradesh",2019,4,"2957835","37913712"
"mizoram",2024,4,"703581","37403493"
"manipur",2022,4,"1431876","37388196"
"sikkim",2022,1,"628848","37320579"
"tripura",2021,3,"1529787","36837438"
"chandigarh",2021,4,"1536276","34811862"
