"state_name","year","quarter","total_transactions","total_amount"
"rajasthan",2021,3,"400284753","710511328542.48481023"
"madhya-pradesh",2021,3,"311443334","504412603851.53640457"
"uttar-pradesh",2021,3,"306543384","557080841279.9348197"
"delhi",2021,3,"238760608","383858316548.28117084"
"tamil-nadu",2021,3,"204357404","365207323053.9333755"
"bihar",2021,3,"187671113","397062760956.41203372"
"west-bengal",2021,3,"181712988","362457066256.51232697"
"odisha",2021,3,"177362674","303780718933.04140797"
"gujarat",2021,3,"149248407","272624626113.58827456"
"haryana",2021,3,"140459693","240827092259.20917783"
"jharkhand",2021,3,"70795702","121891015118.85305023"
"chhattisgarh",2021,3,"64237938","104606108262.77672885"
"kerala",2021,3,"63028266","101686161773.12962142"
"punjab",2021,3,"42533489","85992560840.612195884"
"assam",2021,3,"33504441","75700499273.307638615"
"uttarakhand",2021,3,"31042284","50527496783.56442987"
"jammu-&-kashmir",2021,3,"13151041","31598443648.032123767"
"himachal-pradesh",2021,3,"12064167","21310262071.128038649"
"chandigarh",2021,3,"6649378","11815883004.693303890"
"goa",2021,3,"6467763","10478425592.936368637"
"puducherry",2021,3,"5121726","8729974431.014469159"
"manipur",2021,3,"3941396","10406861028.904853689"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,3,"3129470","4305939102.791506948"
"tripura",2021,3,"2081200","4364133768.181475031"
"arunachal-pradesh",2021,3,"1906967","5678124175.2988196061"
"nagaland",2021,3,"1356792","3987416848.0054479064"
"sikkim",2021,3,"1160594","2989336863.8083931130"
"meghalaya",2021,3,"1097731","2769000451.5279705405"
"ladakh",2021,3,"590987","2213984743.9345883089"
"mizoram",2021,3,"478529","1473748650.2119513795"
"andaman-&-nicobar-islands",2021,3,"449764","1310024395.8016035192"
"lakshadweep",2021,3,"13370","38803163.69876814204"
"maharashtra",2021,4,"1010731502","1475358473128.5006993"
"karnataka",2021,4,"931725438","1375471324349.8734245"
"telangana",2021,4,"775989773","1463758189500.9098979"
"andhra-pradesh",2021,4,"522254003","1156264447083.9800653"
"rajasthan",2021,4,"487621597","903934418544.3161319"
"uttar-pradesh",2021,4,"406157932","773890970072.22331845"
"madhya-pradesh",2021,4,"404308084","656887492404.50601297"
"delhi",2021,4,"292683359","488695314062.39123265"
"tamil-nadu",2021,4,"259155976","443723952594.80251526"
"bihar",2021,4,"245126945","519371614068.76184788"
"odisha",2021,4,"233925366","385251049689.91930746"
"west-bengal",2021,4,"225029560","462218037262.0970242"
"gujarat",2021,4,"182987325","342382580053.6277944"
"haryana",2021,4,"169686975","309240599300.46064822"
"jharkhand",2021,4,"96009042","166017119003.70592404"
"chhattisgarh",2021,4,"84717494","136399110518.812827575"
"kerala",2021,4,"81823741","123342136943.36370064"
"punjab",2021,4,"52359360","110710126241.99956742"
"assam",2021,4,"46020361","104184967893.215434896"
"uttarakhand",2021,4,"40361280","66148108159.421122844"
"jammu-&-kashmir",2021,4,"16790628","38926237425.77167016"
"himachal-pradesh",2021,4,"14666864","26136220500.625820302"
"goa",2021,4,"11088759","18627257115.86965363"
"chandigarh",2021,4,"7898903","14373583510.618455497"
"puducherry",2021,4,"6368810","10423651801.23051307"
"manipur",2021,4,"4687439","12658472038.211835000"
"dadra-&-nagar-haveli-&-daman-&-diu",2021,4,"4157085","5565839386.3306603684"
"tripura",2021,4,"2520693","5496929464.2994475525"
"arunachal-pradesh",2021,4,"2390598","6943510352.6113480048"
"nagaland",2021,4,"1631483","4939083784.1364765426"
"sikkim",2021,4,"1584345","4196783261.6358077566"
"meghalaya",2021,4,"1440193","3848765400.1861542718"
"andaman-&-nicobar-islands",2021,4,"636123","1932610101.323657342"
"ladakh",2021,4,"630187","2153535138.7802668195"
"mizoram",2021,4,"553329","1770665741.523041384"
"lakshadweep",2021,4,"15470","50998185.528381011568"
"maharashtra",2022,1,"1169506438","1681399273981.1344034"
"karnataka",2022,1,"1057855407","1566649488305.8817681"
"telangana",2022,1,"886453385","1670638169828.9746885"
"andhra-pradesh",2022,1,"582603911","1294320646554.87629539"
"rajasthan",2022,1,"564962220","1022050180980.12915754"
"uttar-pradesh",2022,1,"473953246","883123174117.0260057"
"madhya-pradesh",2022,1,"472703058","747665139599.64757768"
"delhi",2022,1,"330999861","536964920836.28877633"
"tamil-nadu",2022,1,"294573150","512789201600.6325184"
"bihar",2022,1,"284390434","611411695731.14586074"
"odisha",2022,1,"263633499","451227311779.82386815"
"west-bengal",2022,1,"260505092","551426663209.56210338"
"gujarat",2022,1,"210547146","392548092253.54793702"
"haryana",2022,1,"191988609","341304042652.77710029"
"jharkhand",2022,1,"110911210","194700207087.16720875"
"chhattisgarh",2022,1,"97413292","157847045454.834509114"
"kerala",2022,1,"95280965","139988942464.69408615"
"assam",2022,1,"58889886","132280437892.70285968"
"punjab",2022,1,"57758302","118389978105.96285247"
"uttarakhand",2022,1,"44560772","70978782500.07464348"
"jammu-&-kashmir",2022,1,"16245311","33147863626.159068165"
"himachal-pradesh",2022,1,"16088180","26518447439.932809617"
"goa",2022,1,"12214098","19816445402.846113134"
"chandigarh",2022,1,"8600491","15174991549.839999274"
"puducherry",2022,1,"7359176","12083474905.386655581"
"manipur",2022,1,"5313679","14144501078.373815106"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,1,"4802803","6237048367.2623904144"
"tripura",2022,1,"2871190","6247329764.3498440635"
"arunachal-pradesh",2022,1,"2804068","7828091628.087365443"
"nagaland",2022,1,"1925952","5544951708.895756060"
"sikkim",2022,1,"1744302","4367431275.8634251546"
"meghalaya",2022,1,"1674750","4662338331.3318940234"
"andaman-&-nicobar-islands",2022,1,"794748","2129030202.0751671372"
"ladakh",2022,1,"630015","2025040918.8422089794"
"mizoram",2022,1,"604917","1945158963.611245940"
"lakshadweep",2022,1,"16397","54939432.65393006578"
"maharashtra",2022,2,"1407533113","2006272382175.8888706"
"karnataka",2022,2,"1277448960","1867146114059.2335829"
"telangana",2022,2,"1063382557","1951414544517.0774368"
"andhra-pradesh",2022,2,"671134030","1479853948202.93349632"
"rajasthan",2022,2,"661170150","1152833518600.39197892"
"uttar-pradesh",2022,2,"595298776","1067515182420.0088378"
"madhya-pradesh",2022,2,"544899829","867024737328.58571898"
"delhi",2022,2,"410634184","629855650458.21687432"
"bihar",2022,2,"360145029","754461454966.14013906"
"tamil-nadu",2022,2,"354506937","590134727678.39650838"
"west-bengal",2022,2,"315742141","648575179584.24548140"
"odisha",2022,2,"313451598","510035012340.02727586"
"gujarat",2022,2,"252052796","446798000976.8455421"
"haryana",2022,2,"234699962","395234035249.50635473"
"jharkhand",2022,2,"132925275","225636227828.137798355"
"chhattisgarh",2022,2,"116584048","181181677163.78122853"
"kerala",2022,2,"106365322","154696329549.12446838"
"assam",2022,2,"76334725","153111042086.78344259"
"punjab",2022,2,"72272823","137345426369.22704811"
"uttarakhand",2022,2,"58166878","88313371025.33424313"
"jammu-&-kashmir",2022,2,"23813747","46254290836.635593858"
"himachal-pradesh",2022,2,"21291371","33709107958.242293563"
"goa",2022,2,"14216054","22873037759.520199932"
"chandigarh",2022,2,"10772489","17283500158.370992289"
"puducherry",2022,2,"8643687","13778745255.768896057"
"manipur",2022,2,"6105632","14922910635.149308206"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,2,"5759771","6995159780.8108386225"
"arunachal-pradesh",2022,2,"3556925","9131665374.2258654836"
"tripura",2022,2,"3418664","6878271042.035301350"
"sikkim",2022,2,"2322081","5611105670.3071375506"
"meghalaya",2022,2,"2044649","5281491421.884796572"
"nagaland",2022,2,"2031329","5740285349.0202808583"
"ladakh",2022,2,"1118073","3543318177.9962701876"
"andaman-&-nicobar-islands",2022,2,"1071217","2685920350.0802657751"
"mizoram",2022,2,"643977","2003186567.1089364430"
"lakshadweep",2022,2,"17569","55929601.98990568304"
"telangana",2022,3,"1628165401","2706325865752.07254054"
"maharashtra",2022,3,"1486389417","1947579187374.5469905"
"karnataka",2022,3,"1189761328","1665918232611.0237438"
"rajasthan",2022,3,"767541360","1238489256318.27682053"
"madhya-pradesh",2022,3,"731259559","1032908494249.66388057"
"uttar-pradesh",2022,3,"703589072","1121370050898.7758410"
"andhra-pradesh",2022,3,"642855035","1385077409712.14339935"
"delhi",2022,3,"475592161","677612647116.1162714"
"bihar",2022,3,"437367385","791446486557.9155752"
"tamil-nadu",2022,3,"393496175","631879220373.26843902"
"odisha",2022,3,"386687326","564545557340.54999690"
"west-bengal",2022,3,"356792388","704749898612.14414469"
"gujarat",2022,3,"303239732","497437502209.44943734"
"haryana",2022,3,"269361810","428054494578.02646287"
"chhattisgarh",2022,3,"158252587","220161558081.98897804"
"jharkhand",2022,3,"146815332","229412884063.95783895"
"kerala",2022,3,"119362904","162260419315.42950625"
"assam",2022,3,"86113811","161489079054.898527314"
"punjab",2022,3,"84177897","149319443006.35473141"
"uttarakhand",2022,3,"63996519","92641259938.36305395"
"himachal-pradesh",2022,3,"25164868","37380782688.540403687"
"jammu-&-kashmir",2022,3,"22534394","40963554502.24822761"
"chandigarh",2022,3,"13478173","20559757737.405849834"
"goa",2022,3,"13188687","19574265275.706329527"
"puducherry",2022,3,"7042727","10854317711.140948247"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,3,"6465621","7520647359.499437665"
"manipur",2022,3,"6352742","15381430267.299723478"
"meghalaya",2022,3,"4359165","9603300797.1215485473"
"tripura",2022,3,"4256579","8648352804.911141133"
"arunachal-pradesh",2022,3,"3939418","9025110785.0486070755"
"sikkim",2022,3,"2396758","5162880543.8914584266"
"nagaland",2022,3,"1894113","5364400495.0508294820"
"andaman-&-nicobar-islands",2022,3,"1584379","3310631772.1373874246"
"ladakh",2022,3,"1190858","3605199350.3739046075"
"mizoram",2022,3,"659038","1946265612.0679540786"
"lakshadweep",2022,3,"15241","47580009.61750025926"
"telangana",2022,4,"1819506832","2978252562916.1470235"
"maharashtra",2022,4,"1688775272","2210470839617.1304315"
"karnataka",2022,4,"1378910371","1904516622907.6436438"
"madhya-pradesh",2022,4,"898828268","1302999857548.32378424"
"rajasthan",2022,4,"865574848","1456956699398.65726181"
"uttar-pradesh",2022,4,"836369071","1376378802069.51215635"
"andhra-pradesh",2022,4,"690017077","1424725083041.65606928"
"bihar",2022,4,"517084649","936012149674.8321099"
"delhi",2022,4,"515203457","744915016018.57590749"
"odisha",2022,4,"445714743","652217064524.00042585"
"tamil-nadu",2022,4,"436316636","675689667591.43809655"
"west-bengal",2022,4,"405847597","787775633607.24992922"
"gujarat",2022,4,"341156018","567918305336.53793888"
"haryana",2022,4,"296648365","490490659880.10355817"
"chhattisgarh",2022,4,"177960446","252519180810.47151853"
"jharkhand",2022,4,"175300092","277971737448.58139952"
"kerala",2022,4,"132960468","173559808599.70967011"
"assam",2022,4,"103981267","192653519187.54610953"
"punjab",2022,4,"91835180","168107427177.93901540"
"uttarakhand",2022,4,"77983880","115496046831.359339475"
"himachal-pradesh",2022,4,"28555136","41779343232.373683022"
"jammu-&-kashmir",2022,4,"27316158","44315295915.49385149"
"chandigarh",2022,4,"17904840","27879754566.939416704"
"goa",2022,4,"17192674","24924986371.339152131"
"puducherry",2022,4,"7556127","11142204877.174492980"
"dadra-&-nagar-haveli-&-daman-&-diu",2022,4,"7189585","8059640746.0811278578"
"manipur",2022,4,"6428670","15625956698.341482129"
"tripura",2022,4,"5198190","10452971818.154098492"
"arunachal-pradesh",2022,4,"4632709","9684909697.5022533670"
"meghalaya",2022,4,"3932448","8996541156.348654637"
"sikkim",2022,4,"3058339","6458385389.4198119485"
"nagaland",2022,4,"2476205","6969966384.3140459792"
"andaman-&-nicobar-islands",2022,4,"1987535","3984674404.4287866216"
"ladakh",2022,4,"1083372","2894477572.6789487666"
"mizoram",2022,4,"693774","2037911085.2630196248"
"lakshadweep",2022,4,"17147","54813873.61493624584"
"maharashtra",2023,1,"1848268499","2362285906059.0"
"karnataka",2023,1,"1844697189","2470227226317.0"
"telangana",2023,1,"1440331458","2372581734284.0"
"andhra-pradesh",2023,1,"1145532464","2249051316530.0"
"uttar-pradesh",2023,1,"1002557722","1636936265372.0"
"rajasthan",2023,1,"921096686","1554913375850.0"
"madhya-pradesh",2023,1,"734566970","1062026599901.0"
"bihar",2023,1,"547831195","1039276959944.0"
"odisha",2023,1,"482896088","753968977663.0"
"tamil-nadu",2023,1,"461212387","715583673518.0"
"west-bengal",2023,1,"459278344","896883182555.0"
"delhi",2023,1,"409753103","611403109580.0"
"haryana",2023,1,"381318464","591150623736.0"
"gujarat",2023,1,"362511326","597826188806.0"
"jharkhand",2023,1,"240458103","367371336021.0"
"chhattisgarh",2023,1,"214748957","301088936459.0"
"kerala",2023,1,"147621565","193637089677.0"
"assam",2023,1,"113760638","212354167087.0"
"punjab",2023,1,"96910821","175508676860.0"
"uttarakhand",2023,1,"79385675","107179907585.0"
"jammu-&-kashmir",2023,1,"38927244","55921747581.0"
"himachal-pradesh",2023,1,"27301726","37740947734.0"
"goa",2023,1,"24195070","35096965775.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,1,"11803985","12614091200.0"
"puducherry",2023,1,"10144295","14222388506.0"
"chandigarh",2023,1,"9815605","12824894394.0"
"arunachal-pradesh",2023,1,"8042825","16394578454.0"
"tripura",2023,1,"7118687","13288282891.0"
"meghalaya",2023,1,"4164705","10084840615.0"
"sikkim",2023,1,"3396128","6762568022.0"
"manipur",2023,1,"3258383","8585564092.0"
"nagaland",2023,1,"2685570","7814397854.0"
"andaman-&-nicobar-islands",2023,1,"2276392","4461528587.0"
"ladakh",2023,1,"1567246","3849021298.0"
"mizoram",2023,1,"1052595","2955622739.0"
"lakshadweep",2023,1,"29520","85321961.0"
"karnataka",2023,2,"2067867526","2777599098830.0"
"maharashtra",2023,2,"2063717848","2606004606468.0"
"telangana",2023,2,"1665430971","2698149935008.0"
"andhra-pradesh",2023,2,"1305656964","2506039086916.0"
"uttar-pradesh",2023,2,"1211410582","1836622076526.0"
"rajasthan",2023,2,"1073459338","1698455586300.0"
"madhya-pradesh",2023,2,"848037060","1202440949508.0"
"bihar",2023,2,"683933094","1226046745390.0"
"west-bengal",2023,2,"545317686","1009315106972.0"
"odisha",2023,2,"544597829","799332054104.0"
"tamil-nadu",2023,2,"498429638","776362551015.0"
"delhi",2023,2,"482138998","661728515657.0"
"haryana",2023,2,"457536190","661742128636.0"
"gujarat",2023,2,"416922553","645407208525.0"
"jharkhand",2023,2,"289233893","422214727508.0"
"chhattisgarh",2023,2,"249931636","333156846754.0"
"kerala",2023,2,"156170617","207796670985.0"
"assam",2023,2,"138290953","235110788783.0"
"punjab",2023,2,"117290289","194181575454.0"
"uttarakhand",2023,2,"102758214","134072872398.0"
"jammu-&-kashmir",2023,2,"54588299","76530005380.0"
"himachal-pradesh",2023,2,"35061595","46875063718.0"
"goa",2023,2,"26530590","38412206943.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,2,"13357115","13750538188.0"
"chandigarh",2023,2,"11553687","14414408750.0"
"puducherry",2023,2,"11130326","15386733257.0"
"arunachal-pradesh",2023,2,"10360488","19805698664.0"
"tripura",2023,2,"7929543","13919130082.0"
"meghalaya",2023,2,"5077212","11084506486.0"
"sikkim",2023,2,"4412967","8580350436.0"
"ladakh",2023,2,"2943815","7191103886.0"
"nagaland",2023,2,"2922001","8021399310.0"
"andaman-&-nicobar-islands",2023,2,"2707775","4990344236.0"
"manipur",2023,2,"1606271","4463876653.0"
"mizoram",2023,2,"1208930","3191806576.0"
"lakshadweep",2023,2,"34918","97987438.0"
"karnataka",2023,3,"2369262302","2985880895587.0"
"maharashtra",2023,3,"2290678587","2752172184241.0"
"telangana",2023,3,"1875045924","2870202901073.0"
"andhra-pradesh",2023,3,"1475164403","2653414098098.0"
"uttar-pradesh",2023,3,"1354622466","1861748362006.0"
"rajasthan",2023,3,"1237232167","1800225443616.0"
"madhya-pradesh",2023,3,"978812593","1237821998249.0"
"bihar",2023,3,"734238751","1148153363366.0"
"west-bengal",2023,3,"632093191","1071548606382.0"
"odisha",2023,3,"622397603","840298338124.0"
"tamil-nadu",2023,3,"556085008","833105264698.0"
"delhi",2023,3,"546706983","708199251438.0"
"haryana",2023,3,"501519478","677491980740.0"
"gujarat",2023,3,"479303590","707737036450.0"
"jharkhand",2023,3,"318237426","418384424020.0"
"chhattisgarh",2023,3,"283492657","350379679526.0"
"kerala",2023,3,"170658651","220332613329.0"
"assam",2023,3,"167575351","244058014402.0"
"punjab",2023,3,"132161181","205225582737.0"
"uttarakhand",2023,3,"106284687","128762398121.0"
"jammu-&-kashmir",2023,3,"63903579","86016148426.0"
"himachal-pradesh",2023,3,"33337054","41854571637.0"
"goa",2023,3,"26999728","37375179974.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,3,"15370328","15096066463.0"
"chandigarh",2023,3,"13052165","15426783311.0"
"arunachal-pradesh",2023,3,"12802433","21127391086.0"
"puducherry",2023,3,"12379641","16444491839.0"
"tripura",2023,3,"9108762","15249223330.0"
"meghalaya",2023,3,"6029842","11406633080.0"
"sikkim",2023,3,"4804937","8107237421.0"
"ladakh",2023,3,"3621366","8250572243.0"
"nagaland",2023,3,"3422331","8616299673.0"
"andaman-&-nicobar-islands",2023,3,"3098376","5211596791.0"
"mizoram",2023,3,"1310413","3106130235.0"
"manipur",2023,3,"865478","3608286601.0"
"lakshadweep",2023,3,"43757","94527061.0"
"maharashtra",2023,4,"2572162725","3098014934958.0"
"karnataka",2023,4,"2564434164","3241376424383.0"
"telangana",2023,4,"2020822178","3116417474765.0"
"andhra-pradesh",2023,4,"1596987426","2802514977823.0"
"uttar-pradesh",2023,4,"1566705382","2257441161652.0"
"rajasthan",2023,4,"1349472154","2066379607801.0"
"madhya-pradesh",2023,4,"1102294613","1426502880687.0"
"bihar",2023,4,"924427274","1434735808415.0"
"west-bengal",2023,4,"737953238","1249394976078.0"
"odisha",2023,4,"732137476","978791865637.0"
"delhi",2023,4,"598150746","799649719349.0"
"tamil-nadu",2023,4,"593481381","872870665005.0"
"haryana",2023,4,"554748233","782270484600.0"
"gujarat",2023,4,"534115578","795087199074.0"
"jharkhand",2023,4,"374538362","498720104925.0"
"chhattisgarh",2023,4,"321876332","403985034545.0"
"assam",2023,4,"193752157","285603636931.0"
"kerala",2023,4,"179843093","224985321465.0"
"punjab",2023,4,"142228995","231139462165.0"
"uttarakhand",2023,4,"118071440","148083447262.0"
"jammu-&-kashmir",2023,4,"69167132","93070141760.0"
"himachal-pradesh",2023,4,"38651839","48280246564.0"
"goa",2023,4,"33460978","44287671557.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2023,4,"18302373","17558059967.0"
"arunachal-pradesh",2023,4,"14617742","24128799794.0"
"chandigarh",2023,4,"13280078","16281223001.0"
"puducherry",2023,4,"12986163","17024510550.0"
"tripura",2023,4,"10140910","16819896794.0"
"meghalaya",2023,4,"7268384","13873058692.0"
"sikkim",2023,4,"4857324","8590608471.0"
"nagaland",2023,4,"3797179","9674575422.0"
"andaman-&-nicobar-islands",2023,4,"3695783","6269552499.0"
"ladakh",2023,4,"3150218","6942986945.0"
"manipur",2023,4,"2113200","6800325298.0"
"mizoram",2023,4,"1500728","3540840283.0"
"lakshadweep",2023,4,"63479","119831383.0"
"maharashtra",2024,1,"2835770481","3372898894856.0"
"karnataka",2024,1,"2796439155","3485248654506.0"
"telangana",2024,1,"2179385307","3203769301073.0"
"uttar-pradesh",2024,1,"1785296948","2477543106639.0"
"andhra-pradesh",2024,1,"1755428485","3012725669749.0"
"rajasthan",2024,1,"1599474007","2350500173790.0"
"madhya-pradesh",2024,1,"1286156614","1625420229864.0"
"bihar",2024,1,"1078734783","1637736864896.0"
"odisha",2024,1,"864178452","1156388722536.0"
"west-bengal",2024,1,"836408587","1422025506833.0"
"delhi",2024,1,"650734058","832514031113.0"
"tamil-nadu",2024,1,"640327197","913861111062.0"
"gujarat",2024,1,"606576671","871619464924.0"
"haryana",2024,1,"604293500","806788219232.0"
"jharkhand",2024,1,"426759095","559720237073.0"
"chhattisgarh",2024,1,"366176684","463009809901.0"
"assam",2024,1,"221525056","321183906030.0"
"kerala",2024,1,"181463966","227077974738.0"
"punjab",2024,1,"142537179","223303420322.0"
"uttarakhand",2024,1,"123234577","150276835263.0"
"jammu-&-kashmir",2024,1,"75116355","93960928941.0"
"himachal-pradesh",2024,1,"39520561","47884231339.0"
"goa",2024,1,"35013987","45351900260.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,1,"21115009","19519196325.0"
"arunachal-pradesh",2024,1,"16406414","26047044476.0"
"puducherry",2024,1,"13446950","17386481977.0"
"chandigarh",2024,1,"13155173","15842176181.0"
"tripura",2024,1,"11042639","17752189374.0"
"meghalaya",2024,1,"8531262","15629304658.0"
"sikkim",2024,1,"5820146","9455721523.0"
"nagaland",2024,1,"4258924","10044915308.0"
"andaman-&-nicobar-islands",2024,1,"4184920","6859151835.0"
"manipur",2024,1,"3845564","9242973323.0"
"ladakh",2024,1,"2987101","6085390661.0"
"mizoram",2024,1,"1627016","3630096730.0"
"lakshadweep",2024,1,"81176","130052381.0"
"maharashtra",2024,2,"3063494802","3573189333587.0"
"karnataka",2024,2,"3042012848","3785034703438.0"
"telangana",2024,2,"2417264357","3461542433312.0"
"uttar-pradesh",2024,2,"2135538658","2704223360067.0"
"andhra-pradesh",2024,2,"1930122300","3181922420088.0"
"rajasthan",2024,2,"1818855106","2497094537924.0"
"madhya-pradesh",2024,2,"1435472057","1779679946627.0"
"bihar",2024,2,"1313888385","1886846564676.0"
"west-bengal",2024,2,"980480707","1547343815564.0"
"odisha",2024,2,"944027735","1164839284001.0"
"delhi",2024,2,"777540400","896917676180.0"
"haryana",2024,2,"738553925","905444595600.0"
"tamil-nadu",2024,2,"705083686","985151149866.0"
"gujarat",2024,2,"690395153","910625046933.0"
"jharkhand",2024,2,"499685871","620115922491.0"
"chhattisgarh",2024,2,"412047705","496313432419.0"
"assam",2024,2,"271327087","345308670210.0"
"kerala",2024,2,"194872467","242003822595.0"
"punjab",2024,2,"171946137","244435036984.0"
"uttarakhand",2024,2,"158564982","180612915790.0"
"jammu-&-kashmir",2024,2,"108179014","129061756911.0"
"himachal-pradesh",2024,2,"52583801","59849740702.0"
"goa",2024,2,"37000806","47454830712.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,2,"23393115","20328992711.0"
"arunachal-pradesh",2024,2,"19478372","29706351630.0"
"chandigarh",2024,2,"15940973","17556903812.0"
"puducherry",2024,2,"14564895","18242009736.0"
"tripura",2024,2,"12787547","18137431068.0"
"meghalaya",2024,2,"11089661","16794614094.0"
"sikkim",2024,2,"7188322","11296518155.0"
"nagaland",2024,2,"5598700","11012913096.0"
"ladakh",2024,2,"5327359","10125723348.0"
"manipur",2024,2,"5063324","10898000793.0"
"andaman-&-nicobar-islands",2024,2,"4653224","7295780330.0"
"mizoram",2024,2,"1977079","3798477640.0"
"lakshadweep",2024,2,"109085","146212841.0"
"maharashtra",2024,3,"3287403995","3687268662139.0"
"karnataka",2024,3,"3261134095","3907202566484.0"
"telangana",2024,3,"2610137835","3551316976598.0"
"uttar-pradesh",2024,3,"2285955833","2717475205234.0"
"andhra-pradesh",2024,3,"2091371362","3226645607489.0"
"rajasthan",2024,3,"1935405035","2472257715905.0"
"madhya-pradesh",2024,3,"1537738457","1761082466531.0"
"bihar",2024,3,"1352876223","1780280473339.0"
"west-bengal",2024,3,"1084916445","1607643782237.0"
"odisha",2024,3,"1023940349","1177233944634.0"
"delhi",2024,3,"844844523","958203383588.0"
"haryana",2024,3,"794940220","923206681798.0"
"tamil-nadu",2024,3,"778536701","1050779594821.0"
"gujarat",2024,3,"757441250","963551388101.0"
"jharkhand",2024,3,"522575883","609909540592.0"
"chhattisgarh",2024,3,"443640102","497360133758.0"
"assam",2024,3,"295345591","333558308550.0"
"kerala",2024,3,"214695458","258302031309.0"
"punjab",2024,3,"187554720","256116156529.0"
"uttarakhand",2024,3,"159278815","173414867549.0"
"jammu-&-kashmir",2024,3,"119555288","144470345977.0"
"himachal-pradesh",2024,3,"49737549","56615941598.0"
"goa",2024,3,"36762111","45913528012.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,3,"25446270","21564631566.0"
"arunachal-pradesh",2024,3,"24447142","31601956705.0"
"chandigarh",2024,3,"17708385","19259257876.0"
"puducherry",2024,3,"16008711","19535004396.0"
"tripura",2024,3,"14400581","19948846189.0"
"meghalaya",2024,3,"12110124","16292956696.0"
"sikkim",2024,3,"7713781","10569829072.0"
"nagaland",2024,3,"6981635","12281315168.0"
"ladakh",2024,3,"6913885","12652871712.0"
"manipur",2024,3,"5700096","11671516831.0"
"andaman-&-nicobar-islands",2024,3,"5279250","7663845009.0"
"mizoram",2024,3,"2360206","3923888231.0"
"lakshadweep",2024,3,"157478","192408087.0"
"maharashtra",2024,4,"3634231839","4151028450887.0"
"karnataka",2024,4,"3455056424","4151819803822.0"
"telangana",2024,4,"2822451603","3859050535418.0"
"uttar-pradesh",2024,4,"2544890265","3214106522459.0"
"andhra-pradesh",2024,4,"2296445544","3452015568966.0"
"rajasthan",2024,4,"2043469547","2793049371408.0"
"madhya-pradesh",2024,4,"1685401835","2003305068845.0"
"bihar",2024,4,"1559667675","2098927476047.0"
"west-bengal",2024,4,"1227135682","1810100029406.0"
"odisha",2024,4,"1143097568","1305457593239.0"
"delhi",2024,4,"910543082","1057060485903.0"
"haryana",2024,4,"841394290","1031959359354.0"
"gujarat",2024,4,"827374966","1076014501422.0"
"tamil-nadu",2024,4,"820423888","1087632875606.0"
"jharkhand",2024,4,"586904686","704010501034.0"
"chhattisgarh",2024,4,"500655404","576828444625.0"
"assam",2024,4,"332441531","382786405959.0"
"kerala",2024,4,"233112441","273639970566.0"
"punjab",2024,4,"199509220","289125652032.0"
"uttarakhand",2024,4,"171136132","194908790959.0"
"jammu-&-kashmir",2024,4,"126261217","160950980732.0"
"himachal-pradesh",2024,4,"53798398","63736996234.0"
"goa",2024,4,"46131536","56562589543.0"
"dadra-&-nagar-haveli-&-daman-&-diu",2024,4,"28463700","23945221461.0"
"arunachal-pradesh",2024,4,"26793457","35079886873.0"
"chandigarh",2024,4,"18528444","20501385889.0"
"puducherry",2024,4,"16559677","19965392547.0"
"tripura",2024,4,"15945159","22409905268.0"
"meghalaya",2024,4,"14166380","19674927433.0"
"sikkim",2024,4,"8916870","12641101398.0"
"nagaland",2024,4,"7921552","13959098676.0"
"andaman-&-nicobar-islands",2024,4,"6063900","8920944773.0"
"manipur",2024,4,"5750423","12061708556.0"
"ladakh",2024,4,"5711284","10854417654.0"
"mizoram",2024,4,"2702443","4461162922.0"
"lakshadweep",2024,4,"197777","247756681.0"
